intern_clock,1,2,3,4,x,y
35345,0.0,0.0,0.0,0.0,119.92253330377045,-100.37576026196889
35442,0.0,0.0,0.0,0.0,105.31940418605149,-65.55492259720717
35540,0.0,0.0,0.0,0.0,87.77754686281955,-44.65244260927006
35639,0.0,1.0,0.0,0.0,78.64217516878352,-37.733248710725306
35737,0.0,0.0,0.0,0.0,79.30262400836716,-41.414901345415245
35834,1.0,0.0,0.0,0.0,76.60682354990472,-24.44001598548615
35933,0.0,0.0,0.0,0.0,69.1957453948836,-11.706064956370241
36031,0.0,0.0,0.0,0.0,66.4457615099756,-4.0867920894344465
36128,0.0,0.0,0.0,0.0,69.22244315420127,4.18345307846695
36227,0.0,0.0,0.0,0.0,79.6957855015584,8.290145549988438
36325,0.0,0.0,0.0,0.0,88.81164771688434,11.339560560084905
36423,0.0,0.0,0.0,0.0,103.10238897729235,14.39933579116936
36520,0.0,0.0,0.0,0.0,127.7286284870872,12.58161064266765
36619,0.0,0.0,0.0,0.0,140.1142969872808,17.092833187723127
36717,0.0,0.0,0.0,0.0,158.75979382095665,36.35569686863691
36815,0.0,0.0,0.0,0.0,156.29709575201963,32.931539322895475
36913,0.0,0.0,0.0,0.0,161.0364646780944,17.152645806503415
37011,0.0,0.0,0.0,0.0,172.5692447863797,9.54607461024535
37109,0.0,0.0,0.0,0.0,182.6563334087917,13.243936243936103
37207,0.0,0.0,0.0,0.0,180.4731969398393,-4.082653375669286
37305,0.0,0.0,0.0,0.0,169.8089701531835,-10.126753846051665
37403,0.0,0.0,0.0,0.0,196.61865690269815,-7.049912623779603
37501,1.0,0.0,0.0,0.0,243.4158905734746,8.08466567072553
37599,0.0,0.0,0.0,0.0,382.83536125106923,34.52253857068828
37697,0.0,0.0,0.0,0.0,918.601386216668,97.87295044420641
37795,0.0,0.0,0.0,0.0,-19796.745467036017,-1194.7031564978631
37894,0.0,0.0,0.0,0.0,-1366.0214806305148,-194.62936325298907
37991,0.0,0.0,0.0,0.0,-740.8633299672805,-151.4323930761546
38089,0.0,0.0,0.0,0.0,-362.21605347423423,-110.79648373872473
38188,0.0,0.0,0.0,0.0,-251.52261584298222,-103.53614730269861
38285,0.0,0.0,0.0,0.0,-201.55844713423048,-93.30812926238443
38383,0.0,1.0,0.0,0.0,-172.81117061454452,-82.60495475522004
38481,0.0,0.0,0.0,0.0,-166.89392121154515,-74.6906533391774
38580,0.0,0.0,0.0,0.0,-188.30001376464926,-76.34107822896013
38677,0.0,0.0,0.0,0.0,-218.6306689732266,-90.99645489230629
38775,0.0,0.0,0.0,0.0,-203.72771044024034,-89.38233380429307
38874,1.0,0.0,0.0,0.0,-183.3264273624673,-81.74331061146502
38971,0.0,1.0,0.0,0.0,-168.1819035921966,-90.46019054517328
39069,0.0,0.0,0.0,0.0,-198.37543236216223,-103.20860324057115
39168,0.0,0.0,0.0,0.0,-239.74910910708977,-112.86569065110847
39266,0.0,0.0,0.0,0.0,-297.60578982118216,-127.68225216959648
39363,0.0,0.0,0.0,0.0,-470.88713136410814,-206.39086885922208
39461,0.0,0.0,0.0,0.0,-4814.4970284065985,-1807.439797494846
39560,0.0,0.0,0.0,0.0,1254.1887491354541,372.41429163766264
39658,0.0,1.0,0.0,0.0,814.4847161569143,171.8928650728416
39755,0.0,0.0,0.0,0.0,643.2080058904594,110.04598701382889
39854,0.0,0.0,0.0,0.0,556.4487159771193,96.4648623711924
39952,0.0,0.0,0.0,0.0,450.92276788436493,53.290535288510284
40049,0.0,0.0,0.0,0.0,375.90356615465566,45.995027785897264
40147,0.0,0.0,0.0,0.0,343.89230411836957,40.928915142862635
40246,0.0,0.0,0.0,0.0,348.98248501230387,27.63803664955447
40344,0.0,0.0,0.0,0.0,371.68972507193456,23.808347477133477
40441,0.0,0.0,0.0,0.0,422.5616384465947,33.36988687909597
40540,0.0,0.0,0.0,0.0,387.9359019676654,18.909979969363885
40638,0.0,1.0,0.0,0.0,341.7625781601671,3.2424586591949067
40736,0.0,0.0,0.0,0.0,307.4131916009383,0.035138708245722135
40834,1.0,0.0,0.0,0.0,314.578417894134,0.33060556464948343
40932,0.0,0.0,0.0,0.0,322.4325618688218,-0.14007714644681996
41030,0.0,0.0,0.0,0.0,347.9285410669901,9.555264084721202
41127,0.0,0.0,0.0,0.0,361.56166308113933,-1.7211410006316312
41226,0.0,0.0,0.0,0.0,362.4720775808159,-16.287715568715672
41324,0.0,0.0,0.0,0.0,335.5243359606808,-7.6574689703863825
41422,0.0,0.0,0.0,0.0,298.21405678775204,0.8265787178166988
41520,0.0,0.0,0.0,0.0,286.38116366377767,1.3398570119825628
41618,0.0,0.0,0.0,0.0,295.7085713731227,9.51819125306772
41716,0.0,0.0,0.0,0.0,306.43645556252375,10.511391094235602
41815,0.0,0.0,0.0,0.0,303.64578831525085,5.77621743032401
41912,0.0,0.0,0.0,0.0,278.1253748159791,-0.8048503461924413
42010,0.0,0.0,0.0,0.0,275.8324180373529,-4.6141076423840035
42108,0.0,0.0,0.0,0.0,266.6035290624697,-5.458649042866054
42206,0.0,0.0,0.0,0.0,296.6512163770299,-5.98835515353305
42304,0.0,0.0,0.0,0.0,325.57429339723313,-5.582392345510709
42402,1.0,0.0,0.0,0.0,316.1321504306688,-13.158523686991053
42501,0.0,0.0,0.0,0.0,332.2154164898496,-27.832726290901853
42598,0.0,0.0,0.0,0.0,340.54031844978704,-28.64328607081281
42696,0.0,0.0,0.0,0.0,359.8409090908741,-24.585345997281927
42795,0.0,0.0,0.0,0.0,426.18481148525706,-17.5737018650166
42892,0.0,0.0,0.0,0.0,425.1807800212882,-8.711002225995179
